customers  sold      lost   fraction_served   overstock  end_stock   profit
   111     104         7         0.937         2583         1       1751.70
   106      99         7         0.934         1748         6       1735.20
   109      97        12         0.890         1335         8       1686.50
   101      96         5         0.950         2765         9       1593.50
   102      93         9         0.912         1929        12       1577.10
   100     100         0         1.000         3371         5       1662.90
   124     105        19         0.847          484         0       1861.60
   106     104         2         0.981         2076         1       1852.40
    96      90         6         0.938         7602        15        979.80
    99      95         4         0.960         3443        10       1515.70
   103     102         1         0.990         4055         3       1624.50
    86      86         0         1.000        11056        19        614.40
   118     103        15         0.873          792         2       1830.80
    92      92         0         1.000         4418        13       1398.20
   117     105        12         0.897          983         0       1881.70
   123     105        18         0.854         1602         0       1759.80
   109     104         5         0.954         2006         1       1829.40
    95      94         1         0.989         2608        11       1609.20
   102      96         6         0.941         3232         9       1536.80
   112     103         9         0.920         1858         2       1784.20
   100      99         1         0.990         3324         6       1637.60
   116     104        12         0.897         1292         1       1830.80
   109      96        13         0.881         1412         9       1648.80
   102     100         2         0.980         2303         5       1749.70
   108     105         3         0.972         5673         0       1502.70
    85      85         0         1.000         6814        20       1018.60
   106      98         8         0.925         1250         7       1755.00
   108      98        10         0.907         1388         7       1721.20
    87      87         0         1.000         5765        18       1163.50
    99      99         0         1.000         3176         6       1662.40
   103     101         2         0.981         2175         4       1782.50
    93      93         0         1.000         6341        12       1225.90
   109     101         8         0.927         1139         4       1826.10
    97      97         0         1.000         5508         8       1389.20
   100      95         5         0.950         3451        10       1504.90
   107      96        11         0.897         2565         9       1553.50
